PMCTS,MCTS,AB,Playouts,Language,,,,,,,
0.5888711,0.6816575,68.64224,100,Julia,,,,,,,
0.607056,0.6731002,75.78899,100,Julia,,,,,,,
0.6144837,0.6925821,90.42804,100,Julia,,,,,,,
0.5950319,0.6719302,68.16494,100,Julia,,,,,,,
0.5921984,0.686909,75.66388,100,Julia,,,,,,,
0.5981693,0.6759721,92.9361,100,Julia,,,,,,,
0.6012525,0.6737127,87.89317,100,Julia,,,,,,,
0.5987792,0.6924293,83.5278,100,Julia,,,,,,,
0.6173417,0.7018892,76.7209,100,Julia,,,,,,,
0.6086056,0.68801,87.19312,100,Julia,,,,,,,
0.6067729,0.667573,77.64842,100,Julia,,,,,,,
0.5938968,0.6701252,68.89236,100,Julia,,,,,,,
0.5880883,0.6624103,94.82549,100,Julia,,,,,,,
0.5973777,0.6726621,77.96346,100,Julia,,,,,,,
0.5949368,0.6695458,60.88203,100,Julia,,,,,,,
0.5966962,0.6789052,82.96612,100,Julia,,,,,,,
0.5938824,0.6731745,67.23264,100,Julia,,,,,,,
0.6067535,0.6772459,64.29759,100,Julia,,,,,,,
0.6060263,0.6895854,79.60753,100,Julia,,,,,,,
0.6074385,0.6699672,81.63985,100,Julia,,,,,,,
0.5919497,0.683914,85.23788,100,Julia,,,,,,,
0.5809018,0.6895619,64.25716,100,Julia,,,,,,,
0.5960003,0.673171,59.67663,100,Julia,,,,,,,
0.6081386,0.6772208,84.36828,100,Julia,,,,,,,
0.5989104,0.683141,55.6765,100,Julia,,,,,,,
0.6174886,0.6791744,84.03922,100,Julia,,,,,,,
0.605933,0.6864806,89.12242,100,Julia,,,,,,,
0.5894202,0.6826261,67.72649,100,Julia,,,,,,,
0.6040688,0.6712927,66.04467,100,Julia,,,,,,,
0.5989567,0.676475,84.90057,100,Julia,,,,,,,
0.6099946,0.6594119,101.0645,100,Julia,,,,,,,
0.5941886,0.6827953,78.0941,100,Julia,,,,,,,
0.6014507,0.6669955,74.38384,100,Julia,,,,,,,
0.6043744,0.6696747,92.44374,100,Julia,,,,,,,
0.6032342,0.6747709,71.09424,100,Julia,,,,,,,
0.5928028,0.6829867,69.09752,100,Julia,,,,,,,
0.5958362,0.6793723,54.46766,100,Julia,,,,,,,
0.6056971,0.6604039,83.11105,100,Julia,,,,,,,
0.5983211,0.674119,84.19164,100,Julia,,,,,,,
0.5795298,0.6785251,69.26362,100,Julia,,,,,,,
0.610046,0.657666,99.31169,100,Julia,,,,,,,
0.5967596,0.6912249,86.73298,100,Julia,,,,,,,
0.5984708,0.6708854,88.81367,100,Julia,,,,,,,
0.5936238,0.6891524,72.45734,100,Julia,,,,,,,
0.5959994,0.6749098,93.3187,100,Julia,,,,,,,
0.5980667,0.674424,79.7428,100,Julia,,,,,,,
0.6038544,0.6937746,82.60035,100,Julia,,,,,,,
0.6114091,0.6659226,82.7346,100,Julia,,,,,,,
0.6114543,0.6792219,89.78986,100,Julia,,,,,,,
5.443973,5.847402,76.79754,1000,Julia,,,,,,,
5.4388,5.850421,95.91049,1000,Julia,,,,,,,
5.441098,5.860309,86.3573,1000,Julia,,,,,,,
5.449941,5.841443,72.39468,1000,Julia,,,,,,,
5.442898,5.834032,70.27059,1000,Julia,,,,,,,
5.427402,5.832258,64.97369,1000,Julia,,,,,,,
5.440646,5.846448,77.36111,1000,Julia,,,,,,,
5.436498,5.839471,85.13667,1000,Julia,,,,,,,
5.41085,5.830331,79.97988,1000,Julia,,,,,,,
5.436252,5.836695,75.76072,1000,Julia,,,,,,,
5.449832,5.837465,72.02587,1000,Julia,,,,,,,
5.427718,5.831763,69.29858,1000,Julia,,,,,,,
5.421344,5.840916,79.6498,1000,Julia,,,,,,,
5.43429,5.840908,86.23485,1000,Julia,,,,,,,
5.448027,5.840183,74.80817,1000,Julia,,,,,,,
5.446478,5.832425,94.21643,1000,Julia,,,,,,,
5.43475,5.847097,57.49158,1000,Julia,,,,,,,
5.439365,5.844295,92.33131,1000,Julia,,,,,,,
5.444439,5.838005,69.89997,1000,Julia,,,,,,,
5.438777,5.837843,52.71846,1000,Julia,,,,,,,
5.433042,5.851361,61.7585,1000,Julia,,,,,,,
5.426621,5.846848,68.06627,1000,Julia,,,,,,,
5.438238,5.838815,77.56236,1000,Julia,,,,,,,
