PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
0.144618327,0.000466659,0.119746258,0.000652488,NA,MC,NA,NA,1,Python
0.144618327,0.000466659,0.119746258,0.000652488,NA,PMC,NA,NA,1,Python
0.115592829,0.000500817,NA,NA,0.007361738,NA,PMC,NA,1,Python
0.115592829,0.000500817,NA,NA,0.007361738,NA,PMC,NA,1,Python
0.176867304,0.000590112,NA,NA,0.006450049,NA,AB,NA,1,Python
0.176867304,0.000590112,NA,NA,0.006450049,NA,PMC,NA,1,Python
0.130476072,0.000600372,NA,NA,0.007787585,NA,PMC,NA,1,Python
0.130476072,0.000600372,NA,NA,0.007787585,NA,AB,NA,1,Python
0.147211338,0.000487008,NA,NA,0.004169194,NA,AB,NA,1,Python
0.147211338,0.000487008,NA,NA,0.004169194,NA,PMC,NA,1,Python
0.128586982,0.000529102,NA,NA,0.006332048,NA,PMC,NA,1,Python
0.128586982,0.000529102,NA,NA,0.006332048,NA,PMC,NA,1,Python
0.108830764,0.000493564,NA,NA,0.007714987,NA,PMC,NA,1,Python
0.108830764,0.000493564,NA,NA,0.007714987,NA,PMC,NA,1,Python
0.20189194,0.000586612,NA,NA,0.007685026,NA,PMC,NA,1,Python
0.20189194,0.000586612,NA,NA,0.007685026,NA,AB,NA,1,Python
0.097771784,0.000502416,NA,NA,0.005479185,NA,AB,NA,1,Python
0.097771784,0.000502416,NA,NA,0.005479185,NA,AB,NA,1,Python
0.113325333,0.000499406,NA,NA,0.005621823,NA,AB,NA,1,Python
0.113325333,0.000499406,NA,NA,0.005621823,NA,AB,NA,1,Python
0.113325333,0.000499406,NA,NA,0.005621823,NA,PMC,NA,1,Python
0.173336827,0.000550187,NA,NA,0.004850475,NA,PMC,NA,1,Python
0.173336827,0.000550187,NA,NA,0.004850475,NA,PMC,NA,1,Python
0.15749445,0.000513932,NA,NA,0.003741336,NA,PMC,NA,1,Python
0.15749445,0.000513932,NA,NA,0.003741336,NA,AB,NA,1,Python
0.191627593,0.000509513,NA,NA,0.005114913,NA,AB,NA,1,Python
0.191627593,0.000509513,NA,NA,0.005114913,NA,PMC,NA,1,Python
0.141894423,0.000505431,NA,NA,0.004169854,NA,PMC,NA,1,Python
0.141894423,0.000505431,NA,NA,0.004169854,NA,PMC,NA,1,Python
0.189231741,0.000563222,NA,NA,0.00620242,NA,PMC,NA,1,Python
0.189231741,0.000563222,NA,NA,0.00620242,NA,PMC,NA,1,Python
0.134811064,0.000519631,NA,NA,0.006354685,NA,PMC,NA,1,Python
0.134811064,0.000519631,NA,NA,0.006354685,NA,AB,NA,1,Python
0.190311392,0.000562625,NA,NA,0.005855083,NA,AB,NA,1,Python
0.190311392,0.000562625,NA,NA,0.005855083,NA,AB,NA,1,Python
0.138799692,0.000498168,NA,NA,0.004301825,NA,AB,NA,1,Python
0.138799692,0.000498168,NA,NA,0.004301825,NA,PMC,NA,1,Python
0.138799692,0.000498168,NA,NA,0.004301825,NA,PMC,NA,1,Python
0.128537515,0.000428349,NA,NA,0.003880119,NA,PMC,NA,1,Python
0.128537515,0.000428349,NA,NA,0.003880119,NA,PMC,NA,1,Python
0.128537515,0.000428349,NA,NA,0.003880119,NA,AB,NA,1,Python
0.17997343,0.000527767,NA,NA,0.006153719,NA,PMC,NA,1,Python
0.17997343,0.000527767,NA,NA,0.006153719,NA,AB,NA,1,Python
0.148947906,0.000422129,NA,NA,0.003008119,NA,AB,NA,1,Python
0.148947906,0.000422129,NA,NA,0.003008119,NA,AB,NA,1,Python
NA,NA,0.161211951,0.000645333,0.005188354,NA,NA,MC,1,Python
NA,NA,0.161211951,0.000645333,0.005188354,NA,NA,MC,1,Python
NA,NA,0.198596231,0.000844311,0.006549803,NA,NA,MC,1,Python
NA,NA,0.198596231,0.000844311,0.006549803,NA,NA,AB,1,Python
NA,NA,0.146099411,0.000583614,0.004656132,NA,NA,AB,1,Python
NA,NA,0.146099411,0.000583614,0.004656132,NA,NA,AB,1,Python
NA,NA,0.140750096,0.000561842,0.004793564,NA,NA,AB,1,Python
NA,NA,0.140750096,0.000561842,0.004793564,NA,NA,MC,1,Python
NA,NA,0.14423321,0.000579075,0.00475293,NA,NA,AB,1,Python
NA,NA,0.14423321,0.000579075,0.00475293,NA,NA,AB,1,Python
NA,NA,0.148934471,0.000596778,0.005292869,NA,NA,AB,1,Python
NA,NA,0.148934471,0.000596778,0.005292869,NA,NA,AB,1,Python
NA,NA,0.16107357,0.000666963,0.005672129,NA,NA,AB,1,Python
NA,NA,0.16107357,0.000666963,0.005672129,NA,NA,AB,1,Python
NA,NA,0.14782719,0.000609966,0.005142434,NA,NA,AB,1,Python
NA,NA,0.14782719,0.000609966,0.005142434,NA,NA,MC,1,Python
NA,NA,0.167007191,0.000687898,0.005389913,NA,NA,MC,1,Python
NA,NA,0.167007191,0.000687898,0.005389913,NA,NA,MC,1,Python
NA,NA,0.139668695,0.000558853,0.004585767,NA,NA,AB,1,Python
NA,NA,0.139668695,0.000558853,0.004585767,NA,NA,MC,1,Python
NA,NA,0.139144289,0.000555989,0.004854989,NA,NA,MC,1,Python
NA,NA,0.139144289,0.000555989,0.004854989,NA,NA,MC,1,Python
NA,NA,0.14196423,0.000571219,0.004612438,NA,NA,AB,1,Python
NA,NA,0.14196423,0.000571219,0.004612438,NA,NA,AB,1,Python
NA,NA,0.142992349,0.000573495,0.004717247,NA,NA,AB,1,Python
NA,NA,0.142992349,0.000573495,0.004717247,NA,NA,AB,1,Python
NA,NA,0.139585618,0.000560525,0.004622269,NA,NA,AB,1,Python
NA,NA,0.139585618,0.000560525,0.004622269,NA,NA,AB,1,Python
NA,NA,0.140058822,0.000556301,0.004565303,NA,NA,AB,1,Python
NA,NA,0.140058822,0.000556301,0.004565303,NA,NA,AB,1,Python
